instance,algorithm,runs,feasible_runs,feasibility_rate,best_objective_key,best_vehicle_count,best_total_distance,best_total_charging_time,best_charging_count,mean_vehicle_count,median_vehicle_count,worst_vehicle_count,standard_deviation_vehicle_count,mean_total_distance,median_total_distance,worst_total_distance,standard_deviation_total_distance,mean_total_charging_time,median_total_charging_time,worst_total_charging_time,standard_deviation_total_charging_time,mean_charging_count,median_charging_count,worst_charging_count,standard_deviation_charging_count,mean_runtime_seconds,median_runtime_seconds,worst_runtime_seconds,standard_deviation_runtime_seconds,mean_iterations,median_iterations,worst_iterations,standard_deviation_iterations
c101C5,ALNS_STAGE02_ROUTE_REDUCTION,3,3,1.0,"[2,257.747451864,472.556700052,3]",2,257.7474518641999,472.55670005197175,3,2.0,2.0,2.0,0.0,257.7474518641999,257.7474518641999,257.7474518641999,0.0,472.55670005197175,472.55670005197175,472.55670005197175,0.0,3.0,3.0,3.0,0.0,0.030333347000123467,0.030337457996211015,0.030561833002138883,0.00018825879079282512,1000.0,1000.0,1000.0,0.0
c101_21,ALNS_STAGE02_ROUTE_REDUCTION,3,3,1.0,"[14,1255.425025683,1514.244653739,8]",14,1255.4250256826806,1514.2446537392946,8,14.0,14.0,14.0,0.0,1255.4250256826806,1255.4250256826806,1255.4250256826806,0.0,1514.2446537392946,1514.2446537392946,1514.2446537392946,0.0,8.0,8.0,8.0,0.0,30.004413013998903,30.004552917002002,30.008540625000023,0.0034287228527554595,1.0,1.0,1.0,0.0
c104C10,ALNS_STAGE02_ROUTE_REDUCTION,3,3,1.0,"[2,273.931237129,589.151039592,3]",2,273.9312371287162,589.1510395919971,3,2.0,2.0,2.0,0.0,277.93249174868214,279.9331190586651,279.9331190586651,2.829314275031924,613.2962708750043,625.368886516508,625.368886516508,17.073256773532012,3.0,3.0,3.0,0.0,0.900724888999927,0.8441078339965316,1.0730941250003525,0.12425137402620154,1000.0,1000.0,1000.0,0.0
c106C15,ALNS_STAGE02_ROUTE_REDUCTION,3,3,1.0,"[3,275.133168873,437.989595186,2]",3,275.1331688731623,437.989595186203,2,3.0,3.0,3.0,0.0,275.1331688731623,275.1331688731623,275.1331688731623,0.0,437.98959518620296,437.989595186203,437.989595186203,0.0,2.0,2.0,2.0,0.0,1.8681707919968176,1.854078333999496,2.257704666997597,0.31245879448181835,1000.0,1000.0,1000.0,0.0
r101_21,ALNS_STAGE02_ROUTE_REDUCTION,3,3,1.0,"[20,1745.398510267,412.110278095,24]",20,1745.3985102673478,412.1102780947863,24,21.0,21.0,22.0,0.816496580927726,1798.1108076167009,1797.9667808981621,1850.9671316845925,43.09832954810911,428.4414693070098,423.7195293519538,449.49460047428937,15.623047667853196,24.666666666666668,25.0,25.0,0.4714045207910317,30.012772722334677,30.003874374997395,30.033957792002184,0.015043839356715187,10.0,8.0,14.0,2.8284271247461903
r103C10,ALNS_STAGE02_ROUTE_REDUCTION,3,3,1.0,"[2,207.051154172,49.247992351,3]",2,207.0511541721048,49.24799235093133,3,2.0,2.0,2.0,0.0,207.85586985323093,207.0511541721048,209.46530121548315,1.1380398301028636,48.75151234354644,49.24799235093133,49.24799235093133,0.7021287598908047,2.6666666666666665,3.0,3.0,0.4714045207910317,0.8479910553335989,0.873051791000762,1.0621379999938654,0.1859276460590127,1000.0,1000.0,1000.0,0.0
r105C15,ALNS_STAGE02_ROUTE_REDUCTION,3,3,1.0,"[4,336.1536021,80.684092212,4]",4,336.1536020996758,80.68409221221032,4,4.0,4.0,4.0,0.0,343.7192122947591,338.8885439761397,356.1154908084618,8.836317766614256,84.77248102152096,80.68409221221032,92.94925864014223,5.781854902381495,4.0,4.0,4.0,0.0,1.8961056669989678,1.976617083993915,2.0315284579992294,0.1543254167566627,1000.0,1000.0,1000.0,0.0
r105C5,ALNS_STAGE02_ROUTE_REDUCTION,3,3,1.0,"[2,156.082069464,44.159902941,2]",2,156.08206946417084,44.159902941361445,2,2.0,2.0,2.0,0.0,156.08206946417084,156.08206946417084,156.08206946417084,0.0,44.159902941361445,44.159902941361445,44.159902941361445,0.0,2.0,2.0,2.0,0.0,0.028270513670577202,0.028277458004595246,0.02839183300238801,0.00010201008449794133,1000.0,1000.0,1000.0,0.0
rc101_21,ALNS_STAGE02_ROUTE_REDUCTION,3,3,1.0,"[22,2102.328510092,350.539091447,19]",22,2102.3285100917924,350.5390914467627,19,22.0,22.0,22.0,0.0,2112.925424394104,2102.873996596123,2133.5737664943968,14.60228092912521,361.2769248832205,351.1812272987749,382.11045590412385,14.733863392704507,20.0,19.0,22.0,1.4142135623730951,30.008185930334246,30.005459666004754,30.01414070899773,0.004215653801809843,8.0,8.0,9.0,0.816496580927726
rc102C10,ALNS_STAGE02_ROUTE_REDUCTION,3,3,1.0,"[4,423.510181924,69.382613231,3]",4,423.5101819239308,69.38261323056489,3,4.0,4.0,4.0,0.0,423.5101819239308,423.5101819239308,423.5101819239308,0.0,69.38261323056489,69.38261323056489,69.38261323056489,0.0,3.0,3.0,3.0,0.0,0.19799500033453418,0.19300129199837102,0.21022541700222064,0.008696554150685721,1000.0,1000.0,1000.0,0.0
